Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011484 | lrm: 1.00 | dt: 12942ms | tok/sec: 20,255 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.173816 | lrm: 1.00 | dt: 405ms | tok/sec: 647,212 | mfu: 15.6% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.951115 | lrm: 1.00 | dt: 408ms | tok/sec: 642,846 | mfu: 15.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.765550 | lrm: 1.00 | dt: 405ms | tok/sec: 647,285 | mfu: 15.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.381723 | lrm: 1.00 | dt: 409ms | tok/sec: 641,590 | mfu: 15.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.043411 | lrm: 1.00 | dt: 408ms | tok/sec: 642,395 | mfu: 15.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.755913 | lrm: 1.00 | dt: 408ms | tok/sec: 641,992 | mfu: 15.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.516373 | lrm: 1.00 | dt: 409ms | tok/sec: 640,780 | mfu: 15.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.306510 | lrm: 1.00 | dt: 409ms | tok/sec: 640,181 | mfu: 15.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.121388 | lrm: 1.00 | dt: 408ms | tok/sec: 641,931 | mfu: 15.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.956771 | lrm: 1.00 | dt: 410ms | tok/sec: 639,216 | mfu: 15.4% | epoch: 1 | remaining: 300s    
